Obs	Exp	AFF	Latitude	Longitude
9	1.4	0.16	57.29	5.5
39	8.7	0.16	57.56	2.36
11	3	0.1	58.44	3.9
9	2.5	0.24	55.76	2.4
15	4.3	0.1	57.71	5.09
8	2.4	0.24	59.13	3.25
26	8.1	0.1	57.47	3.3
7	2.3	0.07	60.24	1.43
6	2	0.07	56.9	5.42
20	6.6	0.16	57.24	2.6
13	4.4	0.07	58.12	6.8
5	1.8	0.16	58.06	4.64
3	1.1	0.1	57.47	3.98
8	3.3	0.24	54.94	5
17	7.8	0.07	56.3	3.1
9	4.6	0.16	57	3
2	1.1	0.1	57.06	4.09
7	4.2	0.07	55.65	2.88
9	5.5	0.07	57.24	4.73
7	4.4	0.1	55.35	2.9
16	10.5	0.07	56.75	2.98
31	22.7	0.16	57.12	2.2
11	8.8	0.1	56.4	5.27
7	5.6	0.07	55.63	3.96
19	15.5	0.01	56.2	3.3
15	12.5	0.01	56.1	3.6
7	6	0.07	55.24	4.09
10	9	0.07	55.95	2.8
16	14.4	0.1	56.6	4.09
11	10.2	0.1	55.9	3.8
5	4.8	0.07	55.47	4.55
3	2.9	0.24	55	4.36
7	7	0.1	55.83	3.2
8	8.5	0.07	56.3	4.73
11	12.3	0.07	55.29	4.98
9	10.1	0	55.94	4.95
11	12.7	0.1	55.76	5.02
8	9.4	0.01	55.91	4.18
6	7.2	0.16	56.15	4.99
4	5.3	0	56.05	4.91
10	18.8	0.01	55.88	4.82
8	15.8	0.16	56.03	4
2	4.3	0.16	56.15	3.96
6	14.6	0	55.82	4.09
19	50.7	0.01	55.93	3.4
3	8.2	0.07	55.65	4.75
2	5.6	0.01	55.71	4.45
3	9.3	0.01	55.79	4.27
28	88.7	0	55.9	4.55
6	19.6	0.01	56.45	3.2
1	3.4	0.01	56	4.27
1	3.6	0	56.15	4.64
1	5.7	0.01	55.79	4.7
1	7	0.01	55.99	4.45
0	4.2	0.16	55.68	3.38
0	1.8	0.1	55.18	3.4
