"A"	"B"	"C"
104.4	145.7	119.6
124.2	105.1	110.4
111.8	99.9	114.5
121.9	110.8	121.1
143.3	93.2	121
121	138.6	120.6
100.1	173.9	114
123	172.3	116.5
135	105.9	116.8
114.3	113.2	124.1
109.1	92.3	109.5
109.6	116.8	113.6
110.3	122.3	119.1
129.5	136.7	124
105.8	125.6	113.5
111.6	138.6	115.5
111.2	106.5	112.9
111.2	135.6	115.6
116.2	100.3	109.4
104	95.4	120.6
118.6	149.4	121.9
115.9	75.3	131.6
112.1	100.5	113.3
106.1	134.2	123.2
126	113	106.9
105.6	102.3	110
122.1	201.3	121.6
102.8	96.8	123.1
115.7	90.4	116.6
110.9	94.7	123.2
115.5	111.8	118.7
116.5	79.3	111
117.9	99	120.3
130.9	142.8	109.2
111.7	88.9	124
112.2	94.5	113.6
114.2	151.8	128.1
114.1	122.2	113.9
114.6	122.9	123.2
120.7	116.1	124.6
114.9	132.1	107.7
116.2	140.1	117
114.1	117.3	112.8
122.5	120.8	105.2
114.3	131.8	120.8
112.1	142.3	100.4
130.7	120.5	114.3
114	115	112.3
99.8	113.9	106.5
128.6	109.6	114.9
111	133.2	113
128.3	139.3	113.5
125.1	100.4	100.8
118.4	171.1	122.5
131.2	115.6	115.9
114.5	172	124.9
114.3	132.8	108.6
120.9	154	119
103.2	140.1	103.2
131	135.6	118.3
105.3	123.7	114.2
115.7	129	126
111.4	155.1	112
111.6	122.2	104
124.5	106.1	121.1
110.7	117.5	118.2
102.2	78.6	120.6
116.2	113.6	116.7
109.5	123.6	111.8
103.8	119.9	107.8
119.3	159.4	117.2
140.3	79.7	113.7
112.4	144.6	120.2
102.2	124.5	111.3
122.4	121.4	111.2
115.1	98.8	113.5
135	89.4	127.1
119.2	125.7	105.3
119.7	133.4	124.1
128.6	108.2	117.1
115.2	148.9	114.5
120.7	156.5	120.7
107.6	114.1	116.2
119.5	87.9	108.2
127.5	114.4	123.9
137.2	106.1	97.2
119.8	111.7	120.2
129.4	129	117.5
112.5	140.8	111.7
109.3	132.1	136.3
111.7	136.7	109.8
106.4	120.9	112.7
121.6	145.3	113
109.9	141.1	119
132.5	192.8	104.4
93.4	115.6	116.2
120.1	110.3	115.4
89.7	103.5	119.7
111.2	87	112
119.7	151.2	116.7
112.1	122.4	109.5
117.2	117.9	120
124.5	146.4	109.4
123.9	91.7	119.8
103.9	75.7	106.5
127.8	97.7	124.4
123.7	122.7	120.5
119.4	101	127.5
113.9	102.8	119.6
113.6	121.2	115.3
139.1	89	118.8
117.6	109.1	117.2
112.1	106.8	120.7
141.2	126.2	108.7
129.5	122.2	119.4
109.8	88.9	120.6
118.6	130.3	117.7
119.4	132.7	116.5
126	99.9	120.1
129.7	61.9	114.4
116.3	94.2	114.2
116.9	112.6	113.8
106.6	116.8	110.7
107.1	92.7	114.4
122.9	71.4	114.8
119.9	138.9	119
130.5	101.2	133.4
117.1	109.8	112.8
141.4	123.6	118.6
125.6	131.3	107.2
120.6	127	108.7
114.7	110.9	122.4
119.1	75.7	120.8
115	142.6	121.2
116.6	107.5	115.8
127.2	97.1	117
140.1	104	108.3
109.1	148.5	122.2
129.4	137	119.5
114	104.1	121.3
126.4	155	113.2
118.4	120.8	107.8
110.7	80	115.5
108.5	124.1	131.8
120.7	110.7	123.8
108.1	85.1	122.5
106.9	94.5	113.4
112.7	129.9	113.7
113.6	122.8	121.3
108.8	133.9	111.3
133.2	122.7	109.7
