"Group"	"Distance"	"Drug"
"ALC"	17.88519003	0
"ALC"	38.95647471	0
"ALC"	38.30641777	0
"ALC"	28.57587641	0
"ALC"	27.7008281	0
"ALC"	49.76275062	0
"ALC"	28.90859882	0
"ALC"	20.38375102	0
"ALC"	34.02606089	0
"ALC"	68.33965009	0
"ALC"	32.64110238	0
"ALC"	34.78847168	0
"ALC"	43.97712119	0
"ALC"	33.92194898	0
"ALC"	28.32076086	0
"ALC"	44.10904801	0
"ALC"	36.1004166	0
"ALC"	29.91490937	0
"ALC"	36.06103592	0
"ALC"	47.38525091	0
"ALC"	36.85056898	0
"ALC"	37.69398391	0
"ALC"	63.03186772	0
"ALC"	26.23736688	0
"MDMA"	29.14904073	1
"MDMA"	28.23566318	1
"MDMA"	27.36386562	1
"MDMA"	35.6830375	1
"MDMA"	31.11659737	1
"MDMA"	20.76762436	1
"MDMA"	56.61174513	1
"MDMA"	21.79414164	1
"MDMA"	27.53514054	1
"MDMA"	22.49865188	1
"MDMA"	24.88332703	1
"MDMA"	20.08799578	1
"MDMA"	22.55237743	1
"MDMA"	19.00892035	1
"MDMA"	28.1305356	1
"MDMA"	26.30373309	1
"NODRUG"	59.11180541	0
"NODRUG"	55.89531371	0
"NODRUG"	30.56152227	0
"NODRUG"	27.59618099	0
"NODRUG"	40.77887292	0
"NODRUG"	356.9650324	0
"NODRUG"	28.58810746	0
"NODRUG"	19.81643005	0
"NODRUG"	34.21143139	0
"NODRUG"	158.6952563	0
"NODRUG"	55.03242005	0
"NODRUG"	33.49640815	0
"NODRUG"	34.50878857	0
"NODRUG"	21.91755017	0
"NODRUG"	23.33450377	0
"NODRUG"	44.26713126	0
"NODRUG"	35.59477284	0
"NODRUG"	43.25145136	0
"NODRUG"	29.64717229	0
"NODRUG"	21.26819242	0
"NODRUG"	33.06628891	0
"NODRUG"	87.00657244	0
"NODRUG"	47.97827471	0
"NODRUG"	34.41316316	0
"NODRUG"	47.49281269	0
"NODRUG"	19.69734407	0
"NODRUG"	29.86495784	0
"NODRUG"	32.91922464	0
"NODRUG"	25.94295063	0
"NODRUG"	24.17470785	0
"NODRUG"	29.65505473	0
"NODRUG"	43.34176348	0
"NODRUG"	30.72871548	0
"NODRUG"	25.93796166	0
"NODRUG"	33.2419667	0
"NODRUG"	34.47430004	0
"NODRUG"	38.54632687	0
"NODRUG"	28.86647061	0
"NODRUG"	58.71956858	0
"NODRUG"	32.49329641	0
"THC"	25.35843694	1
"THC"	49.80591189	1
"THC"	82.0252332	1
"THC"	37.6608866	1
"THC"	23.75116422	1
"THC"	14.81769761	1
"THC"	28.92172681	1
"THC"	346.7227035	1
"THC"	27.30777788	1
"THC"	30.51632682	1
"THC"	32.07196668	1
"THC"	29.71833596	1
"THC"	48.49456335	1
"THC"	34.57385817	1
"THC"	28.17938433	1
"THC"	29.67949619	1
"THC"	27.64866451	1
"THC"	39.48102174	1
"THC"	45.96477212	1
"THC"	27.85791817	1
"THC"	31.89521523	1
"THC"	35.82687793	1
"THC"	38.52816809	1
"THC"	65.66494109	1
"THC"	32.96489913	1
"THC"	27.86238613	1
"THC"	19.53949731	1
"THC"	21.22388067	1
"THC"	30.43179238	1
"THC"	24.30069973	1
"THC"	54.32926452	1
"THC"	34.12509183	1
"THC"	18.67868981	1
"THC"	37.05515943	1
"THC"	28.68742874	1
"THC"	39.55687344	1
"THC"	42.05160765	1
"THC"	40.94437227	1
"THC"	27.38508765	1
